,,,,,,,,,,,,,,,,,,
M_PCE,M_VOC,M_JSC,M_FF,C_PCE,C_VOC,C_JSC,C_FF,HTL,R_Cs,R_FA,R_MA,R_Pb:A,R_I,R_Br,R_Cl,"Modified
materials",Type,"References’
DOI"
22.02,1.12,23.51,83.61,18.18,1.10,21.75,76.00,NiOx,0.048,0.81,0.143,1.027,2.579,0.421,0,PS-PAN,B.M.,"10.1016/j.nanoe
n.2020.105731"
21.11,1.10,23.38,81.87,18.11,1.09,21.93,75.98,NiOx,0,0,1,1,3,0,0,PHMT,HTL_I.M.,"10.1016/j.jeche
m.2020.12.035"
19.36,1.09,22.62,78.24,18.11,1.09,21.93,75.98,NiOx,0,0,1,1,3,0,0,ETMT,HTL_I.M.,"10.1016/j.jeche
m.2020.12.035"
18.57,1.09,22.10,77.07,18.11,1.09,21.93,75.98,NiOx,0,0,1,1,3,0,0,PRMT,HTL_I.M.,"10.1016/j.jeche
m.2020.12.035"
19.50,1.11,22.96,80.00,13.50,1.03,19.37,75.00,PTAA,0,0,1,1,3,0,0,IDIC,ETL_I.M.,"10.1002/adma.2
01604545"
21.00,1.14,23.70,78.00,19.20,1.03,23.70,79.00,PTAA,0,0.85,0.15,1,2.55,0.45,0,"Choline
chloride",ETL_I.M.,"10.1038/nenerg
y.2017.102"
19.60,1.08,22.70,80.00,17.10,1.04,22.50,73.00,PTAA,0,0,1,1,3,0,0,"L-α-
phosphati",ETL_I.M.,"10.1038/nenerg
y.2017.102"
17.20,1.15,19.40,77.00,12.60,1.12,17.10,66.00,PTAA,0,0.83,0.17,1,1.8,1.2,0,"Choline
chloride",ETL_I.M.,"10.1038/nenerg
y.2017.102"
20.00,1.15,22.90,76.00,17.10,1.04,22.50,73.00,PTAA,0,0,1,1,3,0,0,"Choline
chloride",ETL_I.M.,"10.1038/nenerg
y.2017.102"
21.40,1.21,22.49,78.50,19.10,1.08,22.40,78.80,PTAA,0.05,0.808,0.143,1,2.558,0.443,0,D4TBP,ETL_I.M.,"10.1021/jacs.8b
13091"
19.60,1.10,22.39,79.60,19.10,1.08,22.40,78.80,PTAA,0.05,0.808,0.143,1,2.558,0.443,0,PA,ETL_I.M.,"10.1021/jacs.8b
13091"
19.90,1.12,22.19,80.30,19.10,1.08,22.40,78.80,PTAA,0.05,0.808,0.143,1,2.558,0.443,0,PEA,ETL_I.M.,"10.1021/jacs.8b
13091"
20.10,1.12,22.42,80.10,19.10,1.08,22.40,78.80,PTAA,0.05,0.808,0.143,1,2.558,0.443,0,VA,ETL_I.M.,"10.1021/jacs.8b
13091"
20.60,1.15,22.62,79.00,19.10,1.08,22.40,78.80,PTAA,0.05,0.808,0.143,1,2.558,0.443,0,PAA,ETL_I.M.,"10.1021/jacs.8b
13091"
20.40,1.15,22.54,78.50,19.10,1.08,22.40,78.80,PTAA,0.05,0.808,0.143,1,2.558,0.443,0,PA.PEA,ETL_I.M.,"10.1021/jacs.8b
13091"
21.10,1.13,23.30,80.00,19.10,1.06,22.70,80.00,PTAA,0,0.85,0.15,1,2.55,0.45,0,DPSI,B.M.,"10.1002/adma.2
01803428"
20.20,1.12,22.80,79.00,18.40,1.08,22.60,75.00,PTAA,0,0,1,1,3,0,0,DPSI,B.M.,"10.1002/adma.2
01803428"
20.30,1.10,22.90,80.60,16.90,1.07,21.10,74.90,PTAA,0,0,1,1,3,0,0,PS,ETL_I.M.,"10.1002/adma.2
01600969"
18.80,1.06,22.90,77.60,16.90,1.07,21.10,74.90,PTAA,0,0,1,1,3,0,0,"PVDF-
TrFE",ETL_I.M.,"10.1002/adma.2
01600969"
18.10,1.05,22.80,75.60,16.90,1.07,21.10,74.90,PTAA,0,0,1,1,3,0,0,Teflon,ETL_I.M.,"10.1002/adma.2
01600969"
18.90,1.05,22.70,79.30,16.90,1.07,21.10,74.90,PTAA,0,0,1,1,3,0,0,"Fluoro-
silane",ETL_I.M.,"10.1002/adma.2
01600969"
20.22,1.11,22.80,80.20,19.08,1.09,22.40,78.10,Others,0,0,1,1,3,0,0,TMTA,B.M.,"10.1038/s41467
-018-06204-2"
18.70,1.05,22.12,80.30,16.40,1.04,20.14,78.70,NiOx,0,0,1,1,3,0,0,PU,B.M.,"10.1002/adfm.2
01703061"
18.75,1.08,22.53,77.42,18.52,1.07,22.50,77.20,NiOx,0,0,1,1,3,0,0,SP1,B.M.,"10.1002/aenm.2
01803766"
19.27,1.09,22.63,77.82,18.52,1.07,22.50,77.20,NiOx,0,0,1,1,3,0,0,SP2,B.M.,"10.1002/aenm.2
01803766"
20.43,1.15,22.69,78.55,18.52,1.07,22.50,77.20,NiOx,0,0,1,1,3,0,0,SP3,B.M.,"10.1002/aenm.2
01803766"
20.67,1.13,22.91,79.80,18.89,1.07,22.72,77.70,NiOx,0.048,0.81,0.143,1.02,2.577,0.423,0,PBTI,B.M.,"10.1002/adfm.2
01808855"
20.80,1.20,22.51,77.00,19.58,1.10,22.53,79.00,PTAA,0,0.845,0.155,1.047,2.549,0.451,0,SSG-G,ETL_I.M.,"10.1126/science
.aap9282"
19.80,1.08,23.80,81.00,18.50,1.02,23.20,79.00,NiOx,0.05,0.79,0.16,1,2.7,0.3,0,"BMIMBF
4",B.M.,"10.1038/s41586
-019-1357-2"
19.28,1.08,22.49,79.40,19.16,1.07,22.51,79.60,PTAA,0.05,0.81,0.14,1,2.56,0.44,0,"Octylamm
onium",ETL_I.M.,"10.1126/science
.aax3294"
20.60,1.14,22.62,79.90,19.16,1.07,22.51,79.60,PTAA,0.05,0.81,0.14,1,2.56,0.44,0,"Methylam
monium",ETL_I.M.,"10.1126/science
.aax3294"
21.11,1.16,22.63,80.40,19.16,1.07,22.51,79.60,PTAA,0.05,0.81,0.14,1,2.56,0.44,0,"Octylamm
onium",ETL_I.M.,"10.1126/science
.aax3294"
