ETL_Mobility,ETL_Doping,HTL_Mobility,HTL_Doping,PCE,VOC,JSC,FF
4.00E-03,1.00E+15,4.00E-03,1.00E+15,9.39145,1.01663,22.71962,40.66004
4.00E-03,1.00E+15,4.00E-03,1.00E+16,11.43587,1.01782,22.67948,49.54125
4.00E-03,1.00E+15,4.00E-03,1.00E+17,12.71083,1.02364,22.66517,54.78559
4.00E-03,1.00E+15,4.00E-03,1.00E+18,13.85048,1.04797,22.66293,58.31737
4.00E-03,1.00E+15,4.00E-03,1.00E+19,15.08563,1.09203,22.66264,60.95626
4.00E-03,1.00E+15,8.62E-03,1.00E+15,10.5447,1.01679,22.72875,45.62777
4.00E-03,1.00E+15,8.62E-03,1.00E+16,11.86023,1.01782,22.67847,51.38175
4.00E-03,1.00E+15,8.62E-03,1.00E+17,12.76191,1.02363,22.66503,55.00654
4.00E-03,1.00E+15,8.62E-03,1.00E+18,13.85574,1.04797,22.66292,58.33955
4.00E-03,1.00E+15,8.62E-03,1.00E+19,15.08626,1.09203,22.66264,60.95884
4.00E-03,1.00E+15,1.86E-02,1.00E+15,11.27233,1.01686,22.73443,48.76058
4.00E-03,1.00E+15,1.86E-02,1.00E+16,12.05348,1.01782,22.67806,52.21966
4.00E-03,1.00E+15,1.86E-02,1.00E+17,12.78495,1.02364,22.66497,55.10595
4.00E-03,1.00E+15,1.86E-02,1.00E+18,13.85817,1.04797,22.66291,58.3498
4.00E-03,1.00E+15,1.86E-02,1.00E+19,15.08656,1.09203,22.66264,60.96004
4.00E-03,1.00E+15,4.00E-02,1.00E+15,11.68987,1.0169,22.73741,50.55827
4.00E-03,1.00E+15,4.00E-02,1.00E+16,12.14134,1.01781,22.67789,52.60117
4.00E-03,1.00E+15,4.00E-02,1.00E+17,12.79569,1.02364,22.66494,55.1523
4.00E-03,1.00E+15,4.00E-02,1.00E+18,13.8593,1.04797,22.66291,58.35455
4.00E-03,1.00E+15,4.00E-02,1.00E+19,15.0867,1.09203,22.66264,60.96059
4.00E-03,1.00E+15,8.62E-02,1.00E+15,11.9044,1.01692,22.73889,51.48166
4.00E-03,1.00E+15,8.62E-02,1.00E+16,12.18992,1.01782,22.67781,52.81169
4.00E-03,1.00E+15,8.62E-02,1.00E+17,12.80032,1.02364,22.66493,55.17232
4.00E-03,1.00E+15,8.62E-02,1.00E+18,13.85982,1.04797,22.66291,58.35675
4.00E-03,1.00E+15,8.62E-02,1.00E+19,15.08676,1.09203,22.66264,60.96085
4.00E-03,1.00E+15,1.86E-01,1.00E+15,12.00374,1.01692,22.73964,51.9096
4.00E-03,1.00E+15,1.86E-01,1.00E+16,12.21227,1.01782,22.67778,52.90856
4.00E-03,1.00E+15,1.86E-01,1.00E+17,12.80263,1.02364,22.66492,55.18227
4.00E-03,1.00E+15,1.86E-01,1.00E+18,13.86006,1.04797,22.6629,58.35777
4.00E-03,1.00E+15,1.86E-01,1.00E+19,15.08679,1.09203,22.66264,60.96097
4.00E-03,1.00E+15,4.00E-01,1.00E+15,12.05758,1.01692,22.74004,52.14122
4.00E-03,1.00E+15,4.00E-01,1.00E+16,12.2226,1.01782,22.67777,52.95333
4.00E-03,1.00E+15,4.00E-01,1.00E+17,12.8037,1.02364,22.66492,55.18688
4.00E-03,1.00E+15,4.00E-01,1.00E+18,13.86017,1.04797,22.6629,58.35825
